"Pokédex number","Pokémon name","Second type"
"10","Caterpie","None"
"11","Metapod","None"
"12","Butterfree","Flying"
"13","Weedle","Poison"
"14","Kakuna","Poison"
"15","Beedrill","Poison"
"46","Paras","Grass"
"47","Parasect","Grass"
"48","Venonat","Poison"
"49","Venomoth","Poison"
"123","Scyther","Flying"
"127","Pinsir","None"
"165","Ledyba","Flying"
"166","Ledian","Flying"
"167","Spinarak","Poison"
"168","Ariados","Poison"
"193","Yanma","Flying"
"204","Pineco","None"
"205","Forretress","Steel"
"212","Scizor","Steel"
"213","Shuckle","Rock"
"214","Heracross","Fighting"
"265","Wurmple","None"
"266","Silcoon","None"
"267","Beautifly","Flying"
"268","Cascoon","None"
"269","Dustox","Poison"
"283","Surskit","Water"
"284","Masquerain","Flying"
"290","Nincada","Ground"
"291","Ninjask","Flying"
"292","Shedinja","Ghost"
"313","Volbeat","None"
"314","Illumise","None"
"347","Anorith","Rock"
"348","Armaldo","Rock"
"401","Kricketot","None"
"402","Kricketune","None"
"412","Burmy","None"
"413","Wormadam Plant","Grass"
"414","Mothim","Flying"
"415","Combee","Flying"
"416","Vespiquen","Flying"
"451","Skorupi","Poison"
"469","Yanmega","Flying"
"540","Sewaddle","Grass"
"541","Swadloon","Grass"
"542","Leavanny","Grass"
"543","Venipede","Poison"
"544","Whirlipede","Poison"
"545","Scolipede","Poison"
"557","Dwebble","Rock"
"558","Crustle","Rock"
"588","Karrablast","None"
"589","Escavalier","Steel"
"595","Joltik","Electric"
"596","Galvantula","Electric"
"616","Shelmet","None"
"617","Accelgor","None"
"632","Durant","Steel"
"636","Larvesta","Fire"
"637","Volcarona","Fire"
"649","Genesect","Steel"
"664","Scatterbug","None"
"665","Spewpa","None"
"666","Vivillon","Flying"
"736","Grubbin","None"
"737","Charjabug","Electric"
"738","Vikavolt","Electric"
"742","Cutiefly","Fairy"
"743","Ribombee","Fairy"
"751","Dewpider","Water"
"752","Araquanid","Water"
"767","Wimpod","Water"
"768","Golisopod","Water"
"794","Buzzwole","Fighting"
"795","Pheromosa","Fighting"
"824","Blipbug","None"
"825","Dottler","Psychic"
"826","Orbeetle","Psychic"
"850","Sizzlipede","Fire"
"851","Centiskorch","Fire"
"872","Snom","Ice"
"873","Frosmoth","Ice"
"900","Kleavor","Rock"
"917","Tarountula","None"
"918","Spidops","None"
"919","Nymble","None"
"920","Lokix","Dark"
"953","Rellor","None"
"954","Rabsca","Psychic"
"988","Slither Wing","Fighting"
"413","Wormadam Sandy","Ground"
"413","Wormadam Trash","Steel"
"127","Pinsir Mega","Flying"
"212","Scizor Mega","Steel"
"214","Heracross Mega","Fighting"
"15","Beedrill Mega","Poison"
"738","Vikavolt Totem","Electric"
"743","Ribombee Totem","Fairy"
"752","Araquanid Totem","Water"
