"Pokédex number","Pokémon name","Second type"
"147","Dratini","None"
"148","Dragonair","None"
"149","Dragonite","Flying"
"230","Kingdra","Water"
"329","Vibrava","Ground"
"330","Flygon","Ground"
"334","Altaria","Flying"
"371","Bagon","None"
"372","Shelgon","None"
"373","Salamence","Flying"
"380","Latias","Psychic"
"381","Latios","Psychic"
"384","Rayquaza","Flying"
"443","Gible","Ground"
"444","Gabite","Ground"
"445","Garchomp","Ground"
"483","Dialga","Steel"
"484","Palkia","Water"
"487","Giratina Altered","Ghost"
"610","Axew","None"
"611","Fraxure","None"
"612","Haxorus","None"
"621","Druddigon","None"
"633","Deino","Dark"
"634","Zweilous","Dark"
"635","Hydreigon","Dark"
"643","Reshiram","Fire"
"644","Zekrom","Electric"
"646","Kyurem","Ice"
"691","Dragalge","Poison"
"696","Tyrunt","Rock"
"697","Tyrantrum","Rock"
"704","Goomy","None"
"705","Sliggoo","None"
"706","Goodra","None"
"714","Noibat","Flying"
"715","Noivern","Flying"
"718","Zygarde 50","Ground"
"776","Turtonator","Fire"
"780","Drampa","Normal"
"782","Jangmo-O","None"
"783","Hakamo-o","Fighting"
"784","Kommo-o","Fighting"
"799","Guzzlord","Dark"
"804","Naganadel","Poison"
"840","Applin","Grass"
"841","Flapple","Grass"
"842","Appletun","Grass"
"880","Dracozolt","Electric"
"882","Dracovish","Water"
"884","Duraludon","Steel"
"885","Dreepy","Ghost"
"886","Drakloak","Ghost"
"887","Dragapult","Ghost"
"890","Eternatus","Poison"
"895","Regidrago","None"
"967","Cyclizar","Normal"
"978","Tatsugiri Curly","Water"
"996","Frigibax","Ice"
"997","Arctibax","Ice"
"998","Baxcalibur","Ice"
"1005","Roaring Moon","Dark"
"1007","Koraidon","Fighting"
"1008","Miraidon","Electric"
"1009","Walking Wake","Water"
"1011","Dipplin","Grass"
"1018","Archaludon","Steel"
"1019","Hydrapple","Grass"
"1020","Gouging Fire","Fire"
"1021","Raging Bolt","Electric"
"487","Giratina Origin","Ghost"
"646","Kyurem Black","Ice"
"646","Kyurem White","Ice"
"6","Charizard Mega X","Fire"
"181","Ampharos Mega","Electric"
"445","Garchomp Mega","Ground"
"380","Latias Mega","Psychic"
"381","Latios Mega","Psychic"
"254","Sceptile Mega","Grass"
"334","Altaria Mega","Fairy"
"384","Rayquaza Mega","Flying"
"373","Salamence Mega","Flying"
"103","Exeggutor Alola","Grass"
"718","Zygarde 10 Power Construct","Ground"
"718","Zygarde 50 Power Construct","Ground"
"718","Zygarde Complete","Ground"
"784","Kommo O Totem","Fighting"
"800","Necrozma Ultra","Psychic"
"718","Zygarde 10","Ground"
"890","Eternatus Eternamax","Poison"
"705","Sliggoo Hisui","Steel"
"706","Goodra Hisui","Steel"
"483","Dialga Origin","Steel"
"484","Palkia Origin","Water"
"978","Tatsugiri Droopy","Water"
"978","Tatsugiri Stretchy","Water"
"1007","Koraidon Limited Build","Fighting"
"1007","Koraidon Sprinting Build","Fighting"
"1007","Koraidon Swimming Build","Fighting"
"1007","Koraidon Gliding Build","Fighting"
"1008","Miraidon Low Power Mode","Electric"
"1008","Miraidon Drive Mode","Electric"
"1008","Miraidon Aquatic Mode","Electric"
"1008","Miraidon Glide Mode","Electric"
