"Pokédex number","Pokémon name","Second type"
"25","Pikachu","None"
"26","Raichu","None"
"81","Magnemite","Steel"
"82","Magneton","Steel"
"100","Voltorb","None"
"101","Electrode","None"
"125","Electabuzz","None"
"135","Jolteon","None"
"145","Zapdos","Flying"
"170","Chinchou","Water"
"171","Lanturn","Water"
"172","Pichu","None"
"179","Mareep","None"
"180","Flaaffy","None"
"181","Ampharos","None"
"239","Elekid","None"
"243","Raikou","None"
"309","Electrike","None"
"310","Manectric","None"
"311","Plusle","None"
"312","Minun","None"
"403","Shinx","None"
"404","Luxio","None"
"405","Luxray","None"
"417","Pachirisu","None"
"462","Magnezone","Steel"
"466","Electivire","None"
"479","Rotom","Ghost"
"522","Blitzle","None"
"523","Zebstrika","None"
"587","Emolga","Flying"
"595","Joltik","Bug"
"596","Galvantula","Bug"
"602","Tynamo","None"
"603","Eelektrik","None"
"604","Eelektross","None"
"618","Stunfisk","Ground"
"642","Thundurus Incarnate","Flying"
"644","Zekrom","Dragon"
"694","Helioptile","Normal"
"695","Heliolisk","Normal"
"702","Dedenne","Fairy"
"737","Charjabug","Bug"
"738","Vikavolt","Bug"
"777","Togedemaru","Steel"
"785","Tapu Koko","Fairy"
"796","Xurkitree","None"
"807","Zeraora","None"
"835","Yamper","None"
"836","Boltund","None"
"848","Toxel","Poison"
"849","Toxtricity Amped","Poison"
"871","Pincurchin","None"
"877","Morpeko Full Belly","Dark"
"880","Dracozolt","Dragon"
"881","Arctozolt","Ice"
"894","Regieleki","None"
"921","Pawmi","None"
"922","Pawmo","Fighting"
"923","Pawmot","Fighting"
"938","Tadbulb","None"
"939","Bellibolt","None"
"940","Wattrel","Flying"
"941","Kilowattrel","Flying"
"989","Sandy Shocks","Ground"
"992","Iron Hands","Fighting"
"995","Iron Thorns","Rock"
"1008","Miraidon","Dragon"
"1021","Raging Bolt","Dragon"
"479","Rotom Heat","Fire"
"479","Rotom Wash","Water"
"479","Rotom Frost","Ice"
"479","Rotom Fan","Flying"
"479","Rotom Mow","Grass"
"642","Thundurus Therian","Flying"
"181","Ampharos Mega","Dragon"
"310","Manectric Mega","None"
"25","Pikachu Rock Star","None"
"25","Pikachu Belle","None"
"25","Pikachu Pop Star","None"
"25","Pikachu Phd","None"
"25","Pikachu Libre","None"
"25","Pikachu Cosplay","None"
"25","Pikachu Original Cap","None"
"25","Pikachu Hoenn Cap","None"
"25","Pikachu Sinnoh Cap","None"
"25","Pikachu Unova Cap","None"
"25","Pikachu Kalos Cap","None"
"25","Pikachu Alola Cap","None"
"26","Raichu Alola","Psychic"
"74","Geodude Alola","Rock"
"75","Graveler Alola","Rock"
"76","Golem Alola","Rock"
"738","Vikavolt Totem","Bug"
"741","Oricorio Pom Pom","Flying"
"25","Pikachu Partner Cap","None"
"777","Togedemaru Totem","Steel"
"25","Pikachu Starter","None"
"25","Pikachu World Cap","None"
"849","Toxtricity Low Key","Poison"
"877","Morpeko Hangry","Dark"
"100","Voltorb Hisui","Grass"
"101","Electrode Hisui","Grass"
"1008","Miraidon Low Power Mode","Dragon"
"1008","Miraidon Drive Mode","Dragon"
"1008","Miraidon Aquatic Mode","Dragon"
"1008","Miraidon Glide Mode","Dragon"
