"Pokédex number","Pokémon name","Second type"
"35","Clefairy","None"
"36","Clefable","None"
"39","Jigglypuff","Normal"
"40","Wigglytuff","Normal"
"122","Mr. Mime","Psychic"
"173","Cleffa","None"
"174","Igglybuff","Normal"
"175","Togepi","None"
"176","Togetic","Flying"
"183","Marill","Water"
"184","Azumarill","Water"
"209","Snubbull","None"
"210","Granbull","None"
"280","Ralts","Psychic"
"281","Kirlia","Psychic"
"282","Gardevoir","Psychic"
"298","Azurill","Normal"
"303","Mawile","Steel"
"439","Mime Jr.","Psychic"
"468","Togekiss","Flying"
"546","Cottonee","Grass"
"547","Whimsicott","Grass"
"669","Flabebe","None"
"670","Floette","None"
"671","Florges","None"
"682","Spritzee","None"
"683","Aromatisse","None"
"684","Swirlix","None"
"685","Slurpuff","None"
"700","Sylveon","None"
"702","Dedenne","Electric"
"703","Carbink","Rock"
"707","Klefki","Steel"
"716","Xerneas","None"
"719","Diancie","Rock"
"730","Primarina","Water"
"742","Cutiefly","Bug"
"743","Ribombee","Bug"
"755","Morelull","Grass"
"756","Shiinotic","Grass"
"764","Comfey","None"
"778","Mimikyu Disguised","Ghost"
"785","Tapu Koko","Electric"
"786","Tapu Lele","Psychic"
"787","Tapu Bulu","Grass"
"788","Tapu Fini","Water"
"801","Magearna","Steel"
"858","Hatterene","Psychic"
"859","Impidimp","Dark"
"860","Morgrem","Dark"
"861","Grimmsnarl","Dark"
"868","Milcery","None"
"869","Alcremie","None"
"888","Zacian","None"
"905","Enamorus Incarnate","Flying"
"926","Fidough","None"
"927","Dachsbun","None"
"957","Tinkatink","Steel"
"958","Tinkatuff","Steel"
"959","Tinkaton","Steel"
"985","Scream Tail","Psychic"
"987","Flutter Mane","Ghost"
"1006","Iron Valiant","Fighting"
"1016","Fezandipiti","Poison"
"282","Gardevoir Mega","Psychic"
"303","Mawile Mega","Steel"
"670","Floette Eternal","None"
"334","Altaria Mega","Dragon"
"531","Audino Mega","Normal"
"719","Diancie Mega","Rock"
"38","Ninetales Alola","Ice"
"778","Mimikyu Busted","Ghost"
"778","Mimikyu Totem Disguised","Ghost"
"778","Mimikyu Totem Busted","Ghost"
"801","Magearna Original","Steel"
"743","Ribombee Totem","Bug"
"78","Rapidash Galar","Psychic"
"110","Weezing Galar","Poison"
"888","Zacian Crowned","Steel"
"905","Enamorus Therian","Flying"
