"Pokédex number","Pokémon name","Second type"
"56","Mankey","None"
"57","Primeape","None"
"62","Poliwrath","Water"
"66","Machop","None"
"67","Machoke","None"
"68","Machamp","None"
"106","Hitmonlee","None"
"107","Hitmonchan","None"
"214","Heracross","Bug"
"236","Tyrogue","None"
"237","Hitmontop","None"
"256","Combusken","Fire"
"257","Blaziken","Fire"
"286","Breloom","Grass"
"296","Makuhita","None"
"297","Hariyama","None"
"307","Meditite","Psychic"
"308","Medicham","Psychic"
"391","Monferno","Fire"
"392","Infernape","Fire"
"447","Riolu","None"
"448","Lucario","Steel"
"453","Croagunk","Poison"
"454","Toxicroak","Poison"
"475","Gallade","Psychic"
"499","Pignite","Fire"
"500","Emboar","Fire"
"532","Timburr","None"
"533","Gurdurr","None"
"534","Conkeldurr","None"
"538","Throh","None"
"539","Sawk","None"
"559","Scraggy","Dark"
"560","Scrafty","Dark"
"619","Mienfoo","None"
"620","Mienshao","None"
"638","Cobalion","Steel"
"639","Terrakion","Rock"
"640","Virizion","Grass"
"647","Keldeo Ordinary","Water"
"652","Chesnaught","Grass"
"674","Pancham","None"
"675","Pangoro","Dark"
"701","Hawlucha","Flying"
"739","Crabrawler","None"
"740","Crabominable","Ice"
"759","Stufful","Normal"
"760","Bewear","Normal"
"766","Passimian","None"
"783","Hakamo-o","Dragon"
"784","Kommo-o","Dragon"
"794","Buzzwole","Bug"
"795","Pheromosa","Bug"
"802","Marshadow","Ghost"
"852","Clobbopus","None"
"853","Grapploct","None"
"865","Sirfetch'd","None"
"870","Falinks","None"
"889","Zamazenta","None"
"891","Kubfu","None"
"892","Urshifu Single Strike","Dark"
"903","Sneasler","Poison"
"914","Quaquaval","Water"
"922","Pawmo","Electric"
"923","Pawmot","Electric"
"973","Flamigo","Flying"
"979","Annihilape","Ghost"
"984","Great Tusk","Ground"
"988","Slither Wing","Bug"
"992","Iron Hands","Electric"
"1006","Iron Valiant","Fairy"
"1007","Koraidon","Dragon"
"1014","Okidogi","Poison"
"648","Meloetta Pirouette","Normal"
"647","Keldeo Resolute","Water"
"150","Mewtwo Mega X","Psychic"
"214","Heracross Mega","Bug"
"257","Blaziken Mega","Fire"
"308","Medicham Mega","Psychic"
"448","Lucario Mega","Steel"
"475","Gallade Mega","Psychic"
"428","Lopunny Mega","Normal"
"784","Kommo O Totem","Dragon"
"83","Farfetchd Galar","None"
"145","Zapdos Galar","Flying"
"889","Zamazenta Crowned","Steel"
"892","Urshifu Rapid Strike","Water"
"215","Sneasel Hisui","Poison"
"549","Lilligant Hisui","Grass"
"724","Decidueye Hisui","Grass"
"128","Tauros Paldea Combat Breed","None"
"128","Tauros Paldea Blaze Breed","Fire"
"128","Tauros Paldea Aqua Breed","Water"
"1007","Koraidon Limited Build","Dragon"
"1007","Koraidon Sprinting Build","Dragon"
"1007","Koraidon Swimming Build","Dragon"
"1007","Koraidon Gliding Build","Dragon"
