"Pokédex number","Pokémon name","Second type"
"4","Charmander","None"
"5","Charmeleon","None"
"6","Charizard","Flying"
"37","Vulpix","None"
"38","Ninetales","None"
"58","Growlithe","None"
"59","Arcanine","None"
"77","Ponyta","None"
"78","Rapidash","None"
"126","Magmar","None"
"136","Flareon","None"
"146","Moltres","Flying"
"155","Cyndaquil","None"
"156","Quilava","None"
"157","Typhlosion","None"
"218","Slugma","None"
"219","Magcargo","Rock"
"228","Houndour","Dark"
"229","Houndoom","Dark"
"240","Magby","None"
"244","Entei","None"
"250","Ho-Oh","Flying"
"255","Torchic","None"
"256","Combusken","Fighting"
"257","Blaziken","Fighting"
"322","Numel","Ground"
"323","Camerupt","Ground"
"324","Torkoal","None"
"390","Chimchar","None"
"391","Monferno","Fighting"
"392","Infernape","Fighting"
"467","Magmortar","None"
"485","Heatran","Steel"
"494","Victini","Psychic"
"498","Tepig","None"
"499","Pignite","Fighting"
"500","Emboar","Fighting"
"513","Pansear","None"
"514","Simisear","None"
"554","Darumaka","None"
"555","Darmanitan Standard","None"
"607","Litwick","Ghost"
"608","Lampent","Ghost"
"609","Chandelure","Ghost"
"631","Heatmor","None"
"636","Larvesta","Bug"
"637","Volcarona","Bug"
"643","Reshiram","Dragon"
"653","Fennekin","None"
"654","Braixen","None"
"655","Delphox","Psychic"
"662","Fletchinder","Flying"
"663","Talonflame","Flying"
"667","Litleo","Normal"
"668","Pyroar","Normal"
"721","Volcanion","Water"
"725","Litten","None"
"726","Torracat","None"
"727","Incineroar","Dark"
"741","Oricorio Baile","Flying"
"757","Salandit","Poison"
"758","Salazzle","Poison"
"776","Turtonator","Dragon"
"806","Blacephalon","Ghost"
"813","Scorbunny","None"
"814","Raboot","None"
"815","Cinderace","None"
"838","Carkol","Rock"
"839","Coalossal","Rock"
"850","Sizzlipede","Bug"
"851","Centiskorch","Bug"
"909","Fuecoco","None"
"910","Crocalor","None"
"911","Skeledirge","Ghost"
"935","Charcadet","None"
"936","Armarouge","Psychic"
"937","Ceruledge","Ghost"
"952","Scovillain","Grass"
"994","Iron Moth","Poison"
"1004","Chi-Yu","Dark"
"1020","Gouging Fire","Dragon"
"479","Rotom Heat","Electric"
"351","Castform Sunny","None"
"555","Darmanitan Zen","Psychic"
"6","Charizard Mega X","Dragon"
"6","Charizard Mega Y","Flying"
"229","Houndoom Mega","Dark"
"257","Blaziken Mega","Fighting"
"383","Groudon Primal","Ground"
"323","Camerupt Mega","Ground"
"105","Marowak Alola","Ghost"
"758","Salazzle Totem","Poison"
"105","Marowak Totem","Ghost"
"555","Darmanitan Galar Zen","Ice"
"58","Growlithe Hisui","Rock"
"59","Arcanine Hisui","Rock"
"157","Typhlosion Hisui","Ghost"
"128","Tauros Paldea Blaze Breed","Fighting"
"1017","Ogerpon Hearthflame Mask","Grass"
