"Pokédex number","Pokémon name","Second type"
"6","Charizard","Fire"
"12","Butterfree","Bug"
"16","Pidgey","Normal"
"17","Pidgeotto","Normal"
"18","Pidgeot","Normal"
"21","Spearow","Normal"
"22","Fearow","Normal"
"41","Zubat","Poison"
"42","Golbat","Poison"
"83","Farfetch'd","Normal"
"84","Doduo","Normal"
"85","Dodrio","Normal"
"123","Scyther","Bug"
"130","Gyarados","Water"
"142","Aerodactyl","Rock"
"144","Articuno","Ice"
"145","Zapdos","Electric"
"146","Moltres","Fire"
"149","Dragonite","Dragon"
"163","Hoothoot","Normal"
"164","Noctowl","Normal"
"165","Ledyba","Bug"
"166","Ledian","Bug"
"169","Crobat","Poison"
"176","Togetic","Fairy"
"177","Natu","Psychic"
"178","Xatu","Psychic"
"187","Hoppip","Grass"
"188","Skiploom","Grass"
"189","Jumpluff","Grass"
"193","Yanma","Bug"
"198","Murkrow","Dark"
"207","Gligar","Ground"
"225","Delibird","Ice"
"226","Mantine","Water"
"227","Skarmory","Steel"
"249","Lugia","Psychic"
"250","Ho-Oh","Fire"
"267","Beautifly","Bug"
"276","Taillow","Normal"
"277","Swellow","Normal"
"278","Wingull","Water"
"279","Pelipper","Water"
"284","Masquerain","Bug"
"291","Ninjask","Bug"
"333","Swablu","Normal"
"334","Altaria","Dragon"
"357","Tropius","Grass"
"373","Salamence","Dragon"
"384","Rayquaza","Dragon"
"396","Starly","Normal"
"397","Staravia","Normal"
"398","Staraptor","Normal"
"414","Mothim","Bug"
"415","Combee","Bug"
"416","Vespiquen","Bug"
"425","Drifloon","Ghost"
"426","Drifblim","Ghost"
"430","Honchkrow","Dark"
"441","Chatot","Normal"
"458","Mantyke","Water"
"468","Togekiss","Fairy"
"469","Yanmega","Bug"
"472","Gliscor","Ground"
"519","Pidove","Normal"
"520","Tranquill","Normal"
"521","Unfezant","Normal"
"527","Woobat","Psychic"
"528","Swoobat","Psychic"
"561","Sigilyph","Psychic"
"566","Archen","Rock"
"567","Archeops","Rock"
"580","Ducklett","Water"
"581","Swanna","Water"
"587","Emolga","Electric"
"627","Rufflet","Normal"
"628","Braviary","Normal"
"629","Vullaby","Dark"
"630","Mandibuzz","Dark"
"641","Tornadus Incarnate","None"
"642","Thundurus Incarnate","Electric"
"645","Landorus Incarnate","Ground"
"661","Fletchling","Normal"
"662","Fletchinder","Fire"
"663","Talonflame","Fire"
"666","Vivillon","Bug"
"701","Hawlucha","Fighting"
"714","Noibat","Dragon"
"715","Noivern","Dragon"
"717","Yveltal","Dark"
"722","Rowlet","Grass"
"723","Dartrix","Grass"
"731","Pikipek","Normal"
"732","Trumbeak","Normal"
"733","Toucannon","Normal"
"741","Oricorio Baile","Fire"
"774","Minior Red Meteor","Rock"
"797","Celesteela","Steel"
"821","Rookidee","None"
"822","Corvisquire","None"
"823","Corviknight","Steel"
"845","Cramorant","Water"
"905","Enamorus Incarnate","Fairy"
"931","Squawkabilly Green Plumage","Normal"
"940","Wattrel","Electric"
"941","Kilowattrel","Electric"
"962","Bombirdier","Dark"
"973","Flamigo","Fighting"
"993","Iron Jugulis","Dark"
"492","Shaymin Sky","Grass"
"479","Rotom Fan","Electric"
"641","Tornadus Therian","None"
"642","Thundurus Therian","Electric"
"645","Landorus Therian","Ground"
"6","Charizard Mega Y","Fire"
"127","Pinsir Mega","Bug"
"142","Aerodactyl Mega","Rock"
"18","Pidgeot Mega","Normal"
"384","Rayquaza Mega","Dragon"
"373","Salamence Mega","Dragon"
"741","Oricorio Pom Pom","Electric"
"741","Oricorio Pau","Psychic"
"741","Oricorio Sensu","Ghost"
"774","Minior Orange Meteor","Rock"
"774","Minior Yellow Meteor","Rock"
"774","Minior Green Meteor","Rock"
"774","Minior Blue Meteor","Rock"
"774","Minior Indigo Meteor","Rock"
"774","Minior Violet Meteor","Rock"
"774","Minior Red","Rock"
"774","Minior Orange","Rock"
"774","Minior Yellow","Rock"
"774","Minior Green","Rock"
"774","Minior Blue","Rock"
"774","Minior Indigo","Rock"
"774","Minior Violet","Rock"
"144","Articuno Galar","Psychic"
"145","Zapdos Galar","Fighting"
"146","Moltres Galar","Dark"
"845","Cramorant Gulping","Water"
"845","Cramorant Gorging","Water"
"628","Braviary Hisui","Psychic"
"905","Enamorus Therian","Fairy"
"931","Squawkabilly Blue Plumage","Normal"
"931","Squawkabilly Yellow Plumage","Normal"
"931","Squawkabilly White Plumage","Normal"
