"Pokédex number","Pokémon name","Second type"
"92","Gastly","Poison"
"93","Haunter","Poison"
"94","Gengar","Poison"
"200","Misdreavus","None"
"292","Shedinja","Bug"
"302","Sableye","Dark"
"353","Shuppet","None"
"354","Banette","None"
"355","Duskull","None"
"356","Dusclops","None"
"425","Drifloon","Flying"
"426","Drifblim","Flying"
"429","Mismagius","None"
"442","Spiritomb","Dark"
"477","Dusknoir","None"
"478","Froslass","Ice"
"479","Rotom","Electric"
"487","Giratina Altered","Dragon"
"562","Yamask","None"
"563","Cofagrigus","None"
"592","Frillish","Water"
"593","Jellicent","Water"
"607","Litwick","Fire"
"608","Lampent","Fire"
"609","Chandelure","Fire"
"622","Golett","Ground"
"623","Golurk","Ground"
"679","Honedge","Steel"
"680","Doublade","Steel"
"681","Aegislash Shield","Steel"
"708","Phantump","Grass"
"709","Trevenant","Grass"
"710","Pumpkaboo Average","Grass"
"711","Gourgeist Average","Grass"
"720","Hoopa","Psychic"
"724","Decidueye","Grass"
"769","Sandygast","Ground"
"770","Palossand","Ground"
"778","Mimikyu Disguised","Fairy"
"781","Dhelmise","Grass"
"792","Lunala","Psychic"
"802","Marshadow","Fighting"
"806","Blacephalon","Fire"
"854","Sinistea","None"
"855","Polteageist","None"
"864","Cursola","None"
"867","Runerigus","Ground"
"885","Dreepy","Dragon"
"886","Drakloak","Dragon"
"887","Dragapult","Dragon"
"897","Spectrier","None"
"902","Basculegion Male","Water"
"911","Skeledirge","Fire"
"937","Ceruledge","Fire"
"946","Bramblin","Grass"
"947","Brambleghast","Grass"
"971","Greavard","None"
"972","Houndstone","None"
"979","Annihilape","Fighting"
"987","Flutter Mane","Fairy"
"999","Gimmighoul","None"
"1000","Gholdengo","Steel"
"1012","Poltchageist","Grass"
"1013","Sinistcha","Grass"
"1025","Pecharunt","Poison"
"487","Giratina Origin","Dragon"
"681","Aegislash Blade","Steel"
"710","Pumpkaboo Small","Grass"
"710","Pumpkaboo Large","Grass"
"710","Pumpkaboo Super","Grass"
"711","Gourgeist Small","Grass"
"711","Gourgeist Large","Grass"
"711","Gourgeist Super","Grass"
"94","Gengar Mega","Poison"
"354","Banette Mega","None"
"302","Sableye Mega","Dark"
"105","Marowak Alola","Fire"
"741","Oricorio Sensu","Flying"
"778","Mimikyu Busted","Fairy"
"778","Mimikyu Totem Disguised","Fairy"
"778","Mimikyu Totem Busted","Fairy"
"105","Marowak Totem","Fire"
"800","Necrozma Dawn","Psychic"
"222","Corsola Galar","None"
"562","Yamask Galar","Ground"
"898","Calyrex Shadow","Psychic"
"157","Typhlosion Hisui","Fire"
"570","Zorua Hisui","Normal"
"571","Zoroark Hisui","Normal"
"902","Basculegion Female","Water"
"999","Gimmighoul Roaming","None"
