"Pokédex number","Pokémon name","Second type"
"1","Bulbasaur","Poison"
"2","Ivysaur","Poison"
"3","Venusaur","Poison"
"43","Oddish","Poison"
"44","Gloom","Poison"
"45","Vileplume","Poison"
"46","Paras","Bug"
"47","Parasect","Bug"
"69","Bellsprout","Poison"
"70","Weepinbell","Poison"
"71","Victreebel","Poison"
"102","Exeggcute","Psychic"
"103","Exeggutor","Psychic"
"114","Tangela","None"
"152","Chikorita","None"
"153","Bayleef","None"
"154","Meganium","None"
"182","Bellossom","None"
"187","Hoppip","Flying"
"188","Skiploom","Flying"
"189","Jumpluff","Flying"
"191","Sunkern","None"
"192","Sunflora","None"
"251","Celebi","Psychic"
"252","Treecko","None"
"253","Grovyle","None"
"254","Sceptile","None"
"270","Lotad","Water"
"271","Lombre","Water"
"272","Ludicolo","Water"
"273","Seedot","None"
"274","Nuzleaf","Dark"
"275","Shiftry","Dark"
"285","Shroomish","None"
"286","Breloom","Fighting"
"315","Roselia","Poison"
"331","Cacnea","None"
"332","Cacturne","Dark"
"345","Lileep","Rock"
"346","Cradily","Rock"
"357","Tropius","Flying"
"387","Turtwig","None"
"388","Grotle","None"
"389","Torterra","Ground"
"406","Budew","Poison"
"407","Roserade","Poison"
"413","Wormadam Plant","Bug"
"420","Cherubi","None"
"421","Cherrim","None"
"455","Carnivine","None"
"459","Snover","Ice"
"460","Abomasnow","Ice"
"465","Tangrowth","None"
"470","Leafeon","None"
"492","Shaymin Land","None"
"495","Snivy","None"
"496","Servine","None"
"497","Serperior","None"
"511","Pansage","None"
"512","Simisage","None"
"540","Sewaddle","Bug"
"541","Swadloon","Bug"
"542","Leavanny","Bug"
"546","Cottonee","Fairy"
"547","Whimsicott","Fairy"
"548","Petilil","None"
"549","Lilligant","None"
"556","Maractus","None"
"585","Deerling","Normal"
"586","Sawsbuck","Normal"
"590","Foongus","Poison"
"591","Amoonguss","Poison"
"597","Ferroseed","Steel"
"598","Ferrothorn","Steel"
"640","Virizion","Fighting"
"650","Chespin","None"
"651","Quilladin","None"
"652","Chesnaught","Fighting"
"672","Skiddo","None"
"673","Gogoat","None"
"708","Phantump","Ghost"
"709","Trevenant","Ghost"
"710","Pumpkaboo Average","Ghost"
"711","Gourgeist Average","Ghost"
"722","Rowlet","Flying"
"723","Dartrix","Flying"
"724","Decidueye","Ghost"
"753","Fomantis","None"
"754","Lurantis","None"
"755","Morelull","Fairy"
"756","Shiinotic","Fairy"
"761","Bounsweet","None"
"762","Steenee","None"
"763","Tsareena","None"
"781","Dhelmise","Ghost"
"787","Tapu Bulu","Fairy"
"798","Kartana","Steel"
"810","Grookey","None"
"811","Thwackey","None"
"812","Rillaboom","None"
"829","Gossifleur","None"
"830","Eldegoss","None"
"840","Applin","Dragon"
"841","Flapple","Dragon"
"842","Appletun","Dragon"
"893","Zarude","Dark"
"898","Calyrex","Psychic"
"906","Sprigatito","None"
"907","Floragato","None"
"908","Meowscarada","Dark"
"928","Smoliv","Normal"
"929","Dolliv","Normal"
"930","Arboliva","Normal"
"946","Bramblin","Ghost"
"947","Brambleghast","Ghost"
"948","Toedscool","Ground"
"949","Toedscruel","Ground"
"951","Capsakid","None"
"952","Scovillain","Fire"
"986","Brute Bonnet","Dark"
"1001","Wo-Chien","Dark"
"1010","Iron Leaves","Psychic"
"1011","Dipplin","Dragon"
"1012","Poltchageist","Ghost"
"1013","Sinistcha","Ghost"
"1017","Ogerpon","None"
"1019","Hydrapple","Dragon"
"492","Shaymin Sky","Flying"
"479","Rotom Mow","Electric"
"710","Pumpkaboo Small","Ghost"
"710","Pumpkaboo Large","Ghost"
"710","Pumpkaboo Super","Ghost"
"711","Gourgeist Small","Ghost"
"711","Gourgeist Large","Ghost"
"711","Gourgeist Super","Ghost"
"3","Venusaur Mega","Poison"
"460","Abomasnow Mega","Ice"
"254","Sceptile Mega","Dragon"
"103","Exeggutor Alola","Dragon"
"754","Lurantis Totem","None"
"893","Zarude Dada","Dark"
"100","Voltorb Hisui","Electric"
"101","Electrode Hisui","Electric"
"549","Lilligant Hisui","Fighting"
"724","Decidueye Hisui","Fighting"
"1017","Ogerpon Wellspring Mask","Water"
"1017","Ogerpon Hearthflame Mask","Fire"
"1017","Ogerpon Cornerstone Mask","Rock"
