"Pokédex number","Pokémon name","Second type"
"27","Sandshrew","None"
"28","Sandslash","None"
"31","Nidoqueen","Poison"
"34","Nidoking","Poison"
"50","Diglett","None"
"51","Dugtrio","None"
"74","Geodude","Rock"
"75","Graveler","Rock"
"76","Golem","Rock"
"95","Onix","Rock"
"104","Cubone","None"
"105","Marowak","None"
"111","Rhyhorn","Rock"
"112","Rhydon","Rock"
"194","Wooper","Water"
"195","Quagsire","Water"
"207","Gligar","Flying"
"208","Steelix","Steel"
"220","Swinub","Ice"
"221","Piloswine","Ice"
"231","Phanpy","None"
"232","Donphan","None"
"246","Larvitar","Rock"
"247","Pupitar","Rock"
"259","Marshtomp","Water"
"260","Swampert","Water"
"290","Nincada","Bug"
"322","Numel","Fire"
"323","Camerupt","Fire"
"328","Trapinch","None"
"329","Vibrava","Dragon"
"330","Flygon","Dragon"
"339","Barboach","Water"
"340","Whiscash","Water"
"343","Baltoy","Psychic"
"344","Claydol","Psychic"
"383","Groudon","None"
"389","Torterra","Grass"
"423","Gastrodon","Water"
"443","Gible","Dragon"
"444","Gabite","Dragon"
"445","Garchomp","Dragon"
"449","Hippopotas","None"
"450","Hippowdon","None"
"464","Rhyperior","Rock"
"472","Gliscor","Flying"
"473","Mamoswine","Ice"
"529","Drilbur","None"
"530","Excadrill","Steel"
"536","Palpitoad","Water"
"537","Seismitoad","Water"
"551","Sandile","Dark"
"552","Krokorok","Dark"
"553","Krookodile","Dark"
"618","Stunfisk","Electric"
"622","Golett","Ghost"
"623","Golurk","Ghost"
"645","Landorus Incarnate","Flying"
"660","Diggersby","Normal"
"718","Zygarde 50","Dragon"
"749","Mudbray","None"
"750","Mudsdale","None"
"769","Sandygast","Ghost"
"770","Palossand","Ghost"
"843","Silicobra","None"
"844","Sandaconda","None"
"867","Runerigus","Ghost"
"901","Ursaluna","Normal"
"948","Toedscool","Grass"
"949","Toedscruel","Grass"
"980","Clodsire","Poison"
"984","Great Tusk","Fighting"
"989","Sandy Shocks","Electric"
"990","Iron Treads","Steel"
"1003","Ting-Lu","Dark"
"413","Wormadam Sandy","Bug"
"645","Landorus Therian","Flying"
"445","Garchomp Mega","Dragon"
"260","Swampert Mega","Water"
"208","Steelix Mega","Steel"
"383","Groudon Primal","Fire"
"323","Camerupt Mega","Fire"
"50","Diglett Alola","Steel"
"51","Dugtrio Alola","Steel"
"718","Zygarde 10 Power Construct","Dragon"
"718","Zygarde 50 Power Construct","Dragon"
"718","Zygarde Complete","Dragon"
"562","Yamask Galar","Ghost"
"618","Stunfisk Galar","Steel"
"718","Zygarde 10","Dragon"
"194","Wooper Paldea","Poison"
"901","Ursaluna Bloodmoon","Normal"
