"Pokédex number","Pokémon name","Second type"
"87","Dewgong","Water"
"91","Cloyster","Water"
"124","Jynx","Psychic"
"131","Lapras","Water"
"144","Articuno","Flying"
"215","Sneasel","Dark"
"220","Swinub","Ground"
"221","Piloswine","Ground"
"225","Delibird","Flying"
"238","Smoochum","Psychic"
"361","Snorunt","None"
"362","Glalie","None"
"363","Spheal","Water"
"364","Sealeo","Water"
"365","Walrein","Water"
"378","Regice","None"
"459","Snover","Grass"
"460","Abomasnow","Grass"
"461","Weavile","Dark"
"471","Glaceon","None"
"473","Mamoswine","Ground"
"478","Froslass","Ghost"
"582","Vanillite","None"
"583","Vanillish","None"
"584","Vanilluxe","None"
"613","Cubchoo","None"
"614","Beartic","None"
"615","Cryogonal","None"
"646","Kyurem","Dragon"
"698","Amaura","Rock"
"699","Aurorus","Rock"
"712","Bergmite","None"
"713","Avalugg","None"
"740","Crabominable","Fighting"
"866","Mr. Rime","Psychic"
"872","Snom","Bug"
"873","Frosmoth","Bug"
"875","Eiscue Ice","None"
"881","Arctozolt","Electric"
"883","Arctovish","Water"
"896","Glastrier","None"
"974","Cetoddle","None"
"975","Cetitan","None"
"991","Iron Bundle","Water"
"996","Frigibax","Dragon"
"997","Arctibax","Dragon"
"998","Baxcalibur","Dragon"
"1002","Chien-Pao","Dark"
"479","Rotom Frost","Electric"
"351","Castform Snowy","None"
"646","Kyurem Black","Dragon"
"646","Kyurem White","Dragon"
"460","Abomasnow Mega","Grass"
"362","Glalie Mega","None"
"27","Sandshrew Alola","Steel"
"28","Sandslash Alola","Steel"
"37","Vulpix Alola","None"
"38","Ninetales Alola","Fairy"
"122","Mr Mime Galar","Psychic"
"554","Darumaka Galar","None"
"555","Darmanitan Galar Standard","None"
"555","Darmanitan Galar Zen","Fire"
"875","Eiscue Noice","None"
"898","Calyrex Ice","Psychic"
"713","Avalugg Hisui","Rock"
