"Pokédex number","Pokémon name","Second type"
"16","Pidgey","Flying"
"17","Pidgeotto","Flying"
"18","Pidgeot","Flying"
"19","Rattata","None"
"20","Raticate","None"
"21","Spearow","Flying"
"22","Fearow","Flying"
"39","Jigglypuff","Fairy"
"40","Wigglytuff","Fairy"
"52","Meowth","None"
"53","Persian","None"
"83","Farfetch'd","Flying"
"84","Doduo","Flying"
"85","Dodrio","Flying"
"108","Lickitung","None"
"113","Chansey","None"
"115","Kangaskhan","None"
"128","Tauros","None"
"132","Ditto","None"
"133","Eevee","None"
"137","Porygon","None"
"143","Snorlax","None"
"161","Sentret","None"
"162","Furret","None"
"163","Hoothoot","Flying"
"164","Noctowl","Flying"
"174","Igglybuff","Fairy"
"190","Aipom","None"
"203","Girafarig","Psychic"
"206","Dunsparce","None"
"216","Teddiursa","None"
"217","Ursaring","None"
"233","Porygon2","None"
"234","Stantler","None"
"235","Smeargle","None"
"241","Miltank","None"
"242","Blissey","None"
"263","Zigzagoon","None"
"264","Linoone","None"
"276","Taillow","Flying"
"277","Swellow","Flying"
"287","Slakoth","None"
"288","Vigoroth","None"
"289","Slaking","None"
"293","Whismur","None"
"294","Loudred","None"
"295","Exploud","None"
"298","Azurill","Fairy"
"300","Skitty","None"
"301","Delcatty","None"
"327","Spinda","None"
"333","Swablu","Flying"
"335","Zangoose","None"
"351","Castform","None"
"352","Kecleon","None"
"396","Starly","Flying"
"397","Staravia","Flying"
"398","Staraptor","Flying"
"399","Bidoof","None"
"400","Bibarel","Water"
"424","Ambipom","None"
"427","Buneary","None"
"428","Lopunny","None"
"431","Glameow","None"
"432","Purugly","None"
"440","Happiny","None"
"441","Chatot","Flying"
"446","Munchlax","None"
"463","Lickilicky","None"
"474","Porygon-Z","None"
"486","Regigigas","None"
"493","Arceus","None"
"504","Patrat","None"
"505","Watchog","None"
"506","Lillipup","None"
"507","Herdier","None"
"508","Stoutland","None"
"519","Pidove","Flying"
"520","Tranquill","Flying"
"521","Unfezant","Flying"
"531","Audino","None"
"572","Minccino","None"
"573","Cinccino","None"
"585","Deerling","Grass"
"586","Sawsbuck","Grass"
"626","Bouffalant","None"
"627","Rufflet","Flying"
"628","Braviary","Flying"
"648","Meloetta Aria","Psychic"
"659","Bunnelby","None"
"660","Diggersby","Ground"
"661","Fletchling","Flying"
"667","Litleo","Fire"
"668","Pyroar","Fire"
"676","Furfrou","None"
"694","Helioptile","Electric"
"695","Heliolisk","Electric"
"731","Pikipek","Flying"
"732","Trumbeak","Flying"
"733","Toucannon","Flying"
"734","Yungoos","None"
"735","Gumshoos","None"
"759","Stufful","Fighting"
"760","Bewear","Fighting"
"765","Oranguru","Psychic"
"772","Type: Null","None"
"773","Silvally","None"
"775","Komala","None"
"780","Drampa","Dragon"
"819","Skwovet","None"
"820","Greedent","None"
"831","Wooloo","None"
"832","Dubwool","None"
"862","Obstagoon","Dark"
"876","Indeedee Male","Psychic"
"899","Wyrdeer","Psychic"
"901","Ursaluna","Ground"
"915","Lechonk","None"
"916","Oinkologne Male","None"
"924","Tandemaus","None"
"925","Maushold Family Of Four","None"
"928","Smoliv","Grass"
"929","Dolliv","Grass"
"930","Arboliva","Grass"
"931","Squawkabilly Green Plumage","Flying"
"944","Shroodle","Poison"
"945","Grafaiai","Poison"
"967","Cyclizar","Dragon"
"981","Farigiraf","Psychic"
"982","Dudunsparce Two Segment","None"
"1024","Terapagos","None"
"648","Meloetta Pirouette","Fighting"
"115","Kangaskhan Mega","None"
"531","Audino Mega","Fairy"
"18","Pidgeot Mega","Flying"
"428","Lopunny Mega","Fighting"
"19","Rattata Alola","Dark"
"20","Raticate Alola","Dark"
"20","Raticate Totem Alola","Dark"
"735","Gumshoos Totem","None"
"133","Eevee Starter","None"
"263","Zigzagoon Galar","Dark"
"264","Linoone Galar","Dark"
"876","Indeedee Female","Psychic"
"570","Zorua Hisui","Ghost"
"571","Zoroark Hisui","Ghost"
"916","Oinkologne Female","None"
"982","Dudunsparce Three Segment","None"
"925","Maushold Family Of Three","None"
"931","Squawkabilly Blue Plumage","Flying"
"931","Squawkabilly Yellow Plumage","Flying"
"931","Squawkabilly White Plumage","Flying"
"901","Ursaluna Bloodmoon","Ground"
"1024","Terapagos Terastal","None"
"1024","Terapagos Stellar","None"
