"Pokédex number","Pokémon name","Second type"
"1","Bulbasaur","Grass"
"2","Ivysaur","Grass"
"3","Venusaur","Grass"
"13","Weedle","Bug"
"14","Kakuna","Bug"
"15","Beedrill","Bug"
"23","Ekans","None"
"24","Arbok","None"
"29","Nidoran F","None"
"30","Nidorina","None"
"31","Nidoqueen","Ground"
"32","Nidoran M","None"
"33","Nidorino","None"
"34","Nidoking","Ground"
"41","Zubat","Flying"
"42","Golbat","Flying"
"43","Oddish","Grass"
"44","Gloom","Grass"
"45","Vileplume","Grass"
"48","Venonat","Bug"
"49","Venomoth","Bug"
"69","Bellsprout","Grass"
"70","Weepinbell","Grass"
"71","Victreebel","Grass"
"72","Tentacool","Water"
"73","Tentacruel","Water"
"88","Grimer","None"
"89","Muk","None"
"92","Gastly","Ghost"
"93","Haunter","Ghost"
"94","Gengar","Ghost"
"109","Koffing","None"
"110","Weezing","None"
"167","Spinarak","Bug"
"168","Ariados","Bug"
"169","Crobat","Flying"
"211","Qwilfish","Water"
"269","Dustox","Bug"
"315","Roselia","Grass"
"316","Gulpin","None"
"317","Swalot","None"
"336","Seviper","None"
"406","Budew","Grass"
"407","Roserade","Grass"
"434","Stunky","Dark"
"435","Skuntank","Dark"
"451","Skorupi","Bug"
"452","Drapion","Dark"
"453","Croagunk","Fighting"
"454","Toxicroak","Fighting"
"543","Venipede","Bug"
"544","Whirlipede","Bug"
"545","Scolipede","Bug"
"568","Trubbish","None"
"569","Garbodor","None"
"590","Foongus","Grass"
"591","Amoonguss","Grass"
"690","Skrelp","Water"
"691","Dragalge","Dragon"
"747","Mareanie","Water"
"748","Toxapex","Water"
"757","Salandit","Fire"
"758","Salazzle","Fire"
"793","Nihilego","Rock"
"803","Poipole","None"
"804","Naganadel","Dragon"
"848","Toxel","Electric"
"849","Toxtricity Amped","Electric"
"890","Eternatus","Dragon"
"903","Sneasler","Fighting"
"904","Overqwil","Dark"
"944","Shroodle","Normal"
"945","Grafaiai","Normal"
"965","Varoom","Steel"
"966","Revavroom","Steel"
"969","Glimmet","Rock"
"970","Glimmora","Rock"
"980","Clodsire","Ground"
"994","Iron Moth","Fire"
"1014","Okidogi","Fighting"
"1015","Munkidori","Psychic"
"1016","Fezandipiti","Fairy"
"1025","Pecharunt","Ghost"
"3","Venusaur Mega","Grass"
"94","Gengar Mega","Ghost"
"15","Beedrill Mega","Bug"
"88","Grimer Alola","Dark"
"89","Muk Alola","Dark"
"758","Salazzle Totem","Fire"
"80","Slowbro Galar","Psychic"
"110","Weezing Galar","Fairy"
"199","Slowking Galar","Psychic"
"849","Toxtricity Low Key","Electric"
"890","Eternatus Eternamax","Dragon"
"211","Qwilfish Hisui","Dark"
"215","Sneasel Hisui","Fighting"
"194","Wooper Paldea","Ground"
