"Pokédex number","Pokémon name","Second type"
"63","Abra","None"
"64","Kadabra","None"
"65","Alakazam","None"
"79","Slowpoke","Water"
"80","Slowbro","Water"
"96","Drowzee","None"
"97","Hypno","None"
"102","Exeggcute","Grass"
"103","Exeggutor","Grass"
"121","Starmie","Water"
"122","Mr. Mime","Fairy"
"124","Jynx","Ice"
"150","Mewtwo","None"
"151","Mew","None"
"177","Natu","Flying"
"178","Xatu","Flying"
"196","Espeon","None"
"199","Slowking","Water"
"201","Unown","None"
"202","Wobbuffet","None"
"203","Girafarig","Normal"
"238","Smoochum","Ice"
"249","Lugia","Flying"
"251","Celebi","Grass"
"280","Ralts","Fairy"
"281","Kirlia","Fairy"
"282","Gardevoir","Fairy"
"307","Meditite","Fighting"
"308","Medicham","Fighting"
"325","Spoink","None"
"326","Grumpig","None"
"337","Lunatone","Rock"
"338","Solrock","Rock"
"343","Baltoy","Ground"
"344","Claydol","Ground"
"358","Chimecho","None"
"360","Wynaut","None"
"374","Beldum","Steel"
"375","Metang","Steel"
"376","Metagross","Steel"
"380","Latias","Dragon"
"381","Latios","Dragon"
"385","Jirachi","Steel"
"386","Deoxys Normal","None"
"433","Chingling","None"
"436","Bronzor","Steel"
"437","Bronzong","Steel"
"439","Mime Jr.","Fairy"
"475","Gallade","Fighting"
"480","Uxie","None"
"481","Mesprit","None"
"482","Azelf","None"
"488","Cresselia","None"
"494","Victini","Fire"
"517","Munna","None"
"518","Musharna","None"
"527","Woobat","Flying"
"528","Swoobat","Flying"
"561","Sigilyph","Flying"
"574","Gothita","None"
"575","Gothorita","None"
"576","Gothitelle","None"
"577","Solosis","None"
"578","Duosion","None"
"579","Reuniclus","None"
"605","Elgyem","None"
"606","Beheeyem","None"
"648","Meloetta Aria","Normal"
"655","Delphox","Fire"
"677","Espurr","None"
"678","Meowstic Male","None"
"686","Inkay","Dark"
"687","Malamar","Dark"
"720","Hoopa","Ghost"
"765","Oranguru","Normal"
"779","Bruxish","Water"
"786","Tapu Lele","Fairy"
"789","Cosmog","None"
"790","Cosmoem","None"
"791","Solgaleo","Steel"
"792","Lunala","Ghost"
"800","Necrozma","None"
"825","Dottler","Bug"
"826","Orbeetle","Bug"
"856","Hatenna","None"
"857","Hattrem","None"
"858","Hatterene","Fairy"
"866","Mr. Rime","Ice"
"876","Indeedee Male","Normal"
"898","Calyrex","Grass"
"899","Wyrdeer","Normal"
"936","Armarouge","Fire"
"954","Rabsca","Bug"
"955","Flittle","None"
"956","Espathra","None"
"976","Veluza","Water"
"981","Farigiraf","Normal"
"985","Scream Tail","Fairy"
"1010","Iron Leaves","Grass"
"1015","Munkidori","Poison"
"1022","Iron Boulder","Rock"
"1023","Iron Crown","Steel"
"386","Deoxys Attack","None"
"386","Deoxys Defense","None"
"386","Deoxys Speed","None"
"555","Darmanitan Zen","Fire"
"678","Meowstic Female","None"
"65","Alakazam Mega","None"
"150","Mewtwo Mega X","Fighting"
"150","Mewtwo Mega Y","None"
"282","Gardevoir Mega","Fairy"
"308","Medicham Mega","Fighting"
"380","Latias Mega","Dragon"
"381","Latios Mega","Dragon"
"475","Gallade Mega","Fighting"
"80","Slowbro Mega","Water"
"376","Metagross Mega","Steel"
"720","Hoopa Unbound","Dark"
"26","Raichu Alola","Electric"
"741","Oricorio Pau","Flying"
"800","Necrozma Dusk","Steel"
"800","Necrozma Dawn","Ghost"
"800","Necrozma Ultra","Dragon"
"77","Ponyta Galar","None"
"78","Rapidash Galar","Fairy"
"79","Slowpoke Galar","None"
"80","Slowbro Galar","Poison"
"122","Mr Mime Galar","Ice"
"144","Articuno Galar","Flying"
"199","Slowking Galar","Poison"
"876","Indeedee Female","Normal"
"898","Calyrex Ice","Ice"
"898","Calyrex Shadow","Ghost"
"628","Braviary Hisui","Flying"
