"Pokédex number","Pokémon name","Second type"
"74","Geodude","Ground"
"75","Graveler","Ground"
"76","Golem","Ground"
"95","Onix","Ground"
"111","Rhyhorn","Ground"
"112","Rhydon","Ground"
"138","Omanyte","Water"
"139","Omastar","Water"
"140","Kabuto","Water"
"141","Kabutops","Water"
"142","Aerodactyl","Flying"
"185","Sudowoodo","None"
"213","Shuckle","Bug"
"219","Magcargo","Fire"
"222","Corsola","Water"
"246","Larvitar","Ground"
"247","Pupitar","Ground"
"248","Tyranitar","Dark"
"299","Nosepass","None"
"304","Aron","Steel"
"305","Lairon","Steel"
"306","Aggron","Steel"
"337","Lunatone","Psychic"
"338","Solrock","Psychic"
"345","Lileep","Grass"
"346","Cradily","Grass"
"347","Anorith","Bug"
"348","Armaldo","Bug"
"369","Relicanth","Water"
"377","Regirock","None"
"408","Cranidos","None"
"409","Rampardos","None"
"410","Shieldon","Steel"
"411","Bastiodon","Steel"
"438","Bonsly","None"
"464","Rhyperior","Ground"
"476","Probopass","Steel"
"524","Roggenrola","None"
"525","Boldore","None"
"526","Gigalith","None"
"557","Dwebble","Bug"
"558","Crustle","Bug"
"564","Tirtouga","Water"
"565","Carracosta","Water"
"566","Archen","Flying"
"567","Archeops","Flying"
"639","Terrakion","Fighting"
"688","Binacle","Water"
"689","Barbaracle","Water"
"696","Tyrunt","Dragon"
"697","Tyrantrum","Dragon"
"698","Amaura","Ice"
"699","Aurorus","Ice"
"703","Carbink","Fairy"
"719","Diancie","Fairy"
"744","Rockruff","None"
"745","Lycanroc Midday","None"
"774","Minior Red Meteor","Flying"
"793","Nihilego","Poison"
"805","Stakataka","Steel"
"834","Drednaw","Water"
"837","Rolycoly","None"
"838","Carkol","Fire"
"839","Coalossal","Fire"
"874","Stonjourner","None"
"900","Kleavor","Bug"
"932","Nacli","None"
"933","Naclstack","None"
"934","Garganacl","None"
"950","Klawf","None"
"969","Glimmet","Poison"
"970","Glimmora","Poison"
"995","Iron Thorns","Electric"
"1022","Iron Boulder","Psychic"
"142","Aerodactyl Mega","Flying"
"248","Tyranitar Mega","Dark"
"719","Diancie Mega","Fairy"
"74","Geodude Alola","Electric"
"75","Graveler Alola","Electric"
"76","Golem Alola","Electric"
"745","Lycanroc Midnight","None"
"774","Minior Orange Meteor","Flying"
"774","Minior Yellow Meteor","Flying"
"774","Minior Green Meteor","Flying"
"774","Minior Blue Meteor","Flying"
"774","Minior Indigo Meteor","Flying"
"774","Minior Violet Meteor","Flying"
"774","Minior Red","Flying"
"774","Minior Orange","Flying"
"774","Minior Yellow","Flying"
"774","Minior Green","Flying"
"774","Minior Blue","Flying"
"774","Minior Indigo","Flying"
"774","Minior Violet","Flying"
"744","Rockruff Own Tempo","None"
"745","Lycanroc Dusk","None"
"58","Growlithe Hisui","Fire"
"59","Arcanine Hisui","Fire"
"713","Avalugg Hisui","Ice"
"1017","Ogerpon Cornerstone Mask","Grass"
