"Pokédex number","Pokémon name","Second type"
"81","Magnemite","Electric"
"82","Magneton","Electric"
"205","Forretress","Bug"
"208","Steelix","Ground"
"212","Scizor","Bug"
"227","Skarmory","Flying"
"303","Mawile","Fairy"
"304","Aron","Rock"
"305","Lairon","Rock"
"306","Aggron","Rock"
"374","Beldum","Psychic"
"375","Metang","Psychic"
"376","Metagross","Psychic"
"379","Registeel","None"
"385","Jirachi","Psychic"
"395","Empoleon","Water"
"410","Shieldon","Rock"
"411","Bastiodon","Rock"
"436","Bronzor","Psychic"
"437","Bronzong","Psychic"
"448","Lucario","Fighting"
"462","Magnezone","Electric"
"476","Probopass","Rock"
"483","Dialga","Dragon"
"485","Heatran","Fire"
"530","Excadrill","Ground"
"589","Escavalier","Bug"
"597","Ferroseed","Grass"
"598","Ferrothorn","Grass"
"599","Klink","None"
"600","Klang","None"
"601","Klinklang","None"
"624","Pawniard","Dark"
"625","Bisharp","Dark"
"632","Durant","Bug"
"638","Cobalion","Fighting"
"649","Genesect","Bug"
"679","Honedge","Ghost"
"680","Doublade","Ghost"
"681","Aegislash Shield","Ghost"
"707","Klefki","Fairy"
"777","Togedemaru","Electric"
"791","Solgaleo","Psychic"
"797","Celesteela","Flying"
"798","Kartana","Grass"
"801","Magearna","Fairy"
"805","Stakataka","Rock"
"808","Meltan","None"
"809","Melmetal","None"
"823","Corviknight","Flying"
"863","Perrserker","None"
"878","Cufant","None"
"879","Copperajah","None"
"884","Duraludon","Dragon"
"957","Tinkatink","Fairy"
"958","Tinkatuff","Fairy"
"959","Tinkaton","Fairy"
"965","Varoom","Poison"
"966","Revavroom","Poison"
"968","Orthworm","None"
"983","Kingambit","Dark"
"990","Iron Treads","Ground"
"1000","Gholdengo","Ghost"
"1018","Archaludon","Dragon"
"1023","Iron Crown","Psychic"
"413","Wormadam Trash","Bug"
"681","Aegislash Blade","Ghost"
"212","Scizor Mega","Bug"
"303","Mawile Mega","Fairy"
"306","Aggron Mega","None"
"448","Lucario Mega","Fighting"
"208","Steelix Mega","Ground"
"376","Metagross Mega","Psychic"
"27","Sandshrew Alola","Ice"
"28","Sandslash Alola","Ice"
"50","Diglett Alola","Ground"
"51","Dugtrio Alola","Ground"
"801","Magearna Original","Fairy"
"777","Togedemaru Totem","Electric"
"800","Necrozma Dusk","Psychic"
"52","Meowth Galar","None"
"618","Stunfisk Galar","Ground"
"888","Zacian Crowned","Fairy"
"889","Zamazenta Crowned","Fighting"
"705","Sliggoo Hisui","Dragon"
"706","Goodra Hisui","Dragon"
"483","Dialga Origin","Dragon"
