"Pokédex number","Pokémon name","Second type"
"7","Squirtle","None"
"8","Wartortle","None"
"9","Blastoise","None"
"54","Psyduck","None"
"55","Golduck","None"
"60","Poliwag","None"
"61","Poliwhirl","None"
"62","Poliwrath","Fighting"
"72","Tentacool","Poison"
"73","Tentacruel","Poison"
"79","Slowpoke","Psychic"
"80","Slowbro","Psychic"
"86","Seel","None"
"87","Dewgong","Ice"
"90","Shellder","None"
"91","Cloyster","Ice"
"98","Krabby","None"
"99","Kingler","None"
"116","Horsea","None"
"117","Seadra","None"
"118","Goldeen","None"
"119","Seaking","None"
"120","Staryu","None"
"121","Starmie","Psychic"
"129","Magikarp","None"
"130","Gyarados","Flying"
"131","Lapras","Ice"
"134","Vaporeon","None"
"138","Omanyte","Rock"
"139","Omastar","Rock"
"140","Kabuto","Rock"
"141","Kabutops","Rock"
"158","Totodile","None"
"159","Croconaw","None"
"160","Feraligatr","None"
"170","Chinchou","Electric"
"171","Lanturn","Electric"
"183","Marill","Fairy"
"184","Azumarill","Fairy"
"186","Politoed","None"
"194","Wooper","Ground"
"195","Quagsire","Ground"
"199","Slowking","Psychic"
"211","Qwilfish","Poison"
"222","Corsola","Rock"
"223","Remoraid","None"
"224","Octillery","None"
"226","Mantine","Flying"
"230","Kingdra","Dragon"
"245","Suicune","None"
"258","Mudkip","None"
"259","Marshtomp","Ground"
"260","Swampert","Ground"
"270","Lotad","Grass"
"271","Lombre","Grass"
"272","Ludicolo","Grass"
"278","Wingull","Flying"
"279","Pelipper","Flying"
"283","Surskit","Bug"
"318","Carvanha","Dark"
"319","Sharpedo","Dark"
"320","Wailmer","None"
"321","Wailord","None"
"339","Barboach","Ground"
"340","Whiscash","Ground"
"341","Corphish","None"
"342","Crawdaunt","Dark"
"349","Feebas","None"
"350","Milotic","None"
"363","Spheal","Ice"
"364","Sealeo","Ice"
"365","Walrein","Ice"
"366","Clamperl","None"
"367","Huntail","None"
"368","Gorebyss","None"
"369","Relicanth","Rock"
"370","Luvdisc","None"
"382","Kyogre","None"
"393","Piplup","None"
"394","Prinplup","None"
"395","Empoleon","Steel"
"400","Bibarel","Normal"
"418","Buizel","None"
"419","Floatzel","None"
"422","Shellos","None"
"423","Gastrodon","Ground"
"456","Finneon","None"
"457","Lumineon","None"
"458","Mantyke","Flying"
"484","Palkia","Dragon"
"489","Phione","None"
"490","Manaphy","None"
"501","Oshawott","None"
"502","Dewott","None"
"503","Samurott","None"
"515","Panpour","None"
"516","Simipour","None"
"535","Tympole","None"
"536","Palpitoad","Ground"
"537","Seismitoad","Ground"
"550","Basculin Red Striped","None"
"564","Tirtouga","Rock"
"565","Carracosta","Rock"
"580","Ducklett","Flying"
"581","Swanna","Flying"
"592","Frillish","Ghost"
"593","Jellicent","Ghost"
"594","Alomomola","None"
"647","Keldeo Ordinary","Fighting"
"656","Froakie","None"
"657","Frogadier","None"
"658","Greninja","Dark"
"688","Binacle","Rock"
"689","Barbaracle","Rock"
"690","Skrelp","Poison"
"692","Clauncher","None"
"693","Clawitzer","None"
"721","Volcanion","Fire"
"728","Popplio","None"
"729","Brionne","None"
"730","Primarina","Fairy"
"746","Wishiwashi Solo","None"
"747","Mareanie","Poison"
"748","Toxapex","Poison"
"751","Dewpider","Bug"
"752","Araquanid","Bug"
"767","Wimpod","Bug"
"768","Golisopod","Bug"
"771","Pyukumuku","None"
"779","Bruxish","Psychic"
"788","Tapu Fini","Fairy"
"816","Sobble","None"
"817","Drizzile","None"
"818","Inteleon","None"
"833","Chewtle","None"
"834","Drednaw","Rock"
"845","Cramorant","Flying"
"846","Arrokuda","None"
"847","Barraskewda","None"
"882","Dracovish","Dragon"
"883","Arctovish","Ice"
"902","Basculegion Male","Ghost"
"912","Quaxly","None"
"913","Quaxwell","None"
"914","Quaquaval","Fighting"
"960","Wiglett","None"
"961","Wugtrio","None"
"963","Finizen","None"
"964","Palafin Zero","None"
"976","Veluza","Psychic"
"977","Dondozo","None"
"978","Tatsugiri Curly","Dragon"
"991","Iron Bundle","Ice"
"1009","Walking Wake","Dragon"
"479","Rotom Wash","Electric"
"351","Castform Rainy","None"
"550","Basculin Blue Striped","None"
"647","Keldeo Resolute","Fighting"
"9","Blastoise Mega","None"
"130","Gyarados Mega","Dark"
"260","Swampert Mega","Ground"
"319","Sharpedo Mega","Dark"
"80","Slowbro Mega","Psychic"
"382","Kyogre Primal","None"
"658","Greninja Battle Bond","Dark"
"658","Greninja Ash","Dark"
"746","Wishiwashi School","None"
"752","Araquanid Totem","Bug"
"845","Cramorant Gulping","Flying"
"845","Cramorant Gorging","Flying"
"892","Urshifu Rapid Strike","Fighting"
"503","Samurott Hisui","Dark"
"484","Palkia Origin","Dragon"
"550","Basculin White Striped","None"
"902","Basculegion Female","Ghost"
"128","Tauros Paldea Aqua Breed","Fighting"
"964","Palafin Hero","None"
"978","Tatsugiri Droopy","Dragon"
"978","Tatsugiri Stretchy","Dragon"
"1017","Ogerpon Wellspring Mask","Grass"
